huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,msu/pearl,c,1986-04-09t00:00:00,ap,39.54794,-76.08481,3.5,tf,15,liter,cb1.1,7,10:46:00
,,phytp,msu/pearl,c,1986-04-09t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:46:00
,,phytp,msu/pearl,c,1986-04-23t00:00:00,ap,39.54794,-76.08481,3.5,tf,15,liter,cb1.1,7,10:52:00
,,phytp,msu/pearl,c,1986-04-23t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:52:00
,,phytp,msu/pearl,c,1986-05-14t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,11:00:00
,,phytp,msu/pearl,c,1986-05-14t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:00:00
,,phytp,msu/pearl,c,1986-05-28t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,09:34:00
,,phytp,msu/pearl,c,1986-05-28t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,09:34:00
,,phytp,msu/pearl,c,1986-06-11t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:06:00
,,phytp,msu/pearl,c,1986-06-11t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:06:00
,,phytp,msu/pearl,c,1986-06-25t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,5.5,10:30:00
,,phytp,msu/pearl,c,1986-06-25t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,10:30:00
,,phytp,msu/pearl,c,1986-07-17t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,5.5,11:17:00
,,phytp,msu/pearl,c,1986-07-17t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:17:00
,,phytp,msu/pearl,c,1986-07-30t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5,10:15:00
,,phytp,msu/pearl,c,1986-07-30t00:00:00,bp,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,10:15:00
,,phytp,msu/pearl,c,1986-08-13t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,11:10:00
,,phytp,msu/pearl,c,1986-08-13t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:10:00
,,phytp,msu/pearl,c,1986-08-27t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,10:21:00
,,phytp,msu/pearl,c,1986-08-27t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:21:00
,,phytp,msu/pearl,c,1986-09-10t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,10:30:00
,,phytp,msu/pearl,c,1986-09-10t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:30:00
,,phytp,msu/pearl,c,1986-09-24t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,5.5,10:44:00
,,phytp,msu/pearl,c,1986-09-24t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,10:44:00
,,phytp,msu/pearl,c,1986-10-06t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,5.2,15:35:00
,,phytp,msu/pearl,c,1986-10-06t00:00:00,bp,39.54794,-76.08481,4.7,tf,15,liter,cb1.1,5.2,15:35:00
,,phytp,msu/pearl,c,1986-11-19t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,6,13:10:00
,,phytp,msu/pearl,c,1986-11-19t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,13:10:00
,,phytp,msu/pearl,c,1986-12-10t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1986-12-10t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1987-01-07t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1987-01-07t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1987-03-16t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,14:20:00
,,phytp,msu/pearl,c,1987-03-16t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,14:20:00
,,phytp,msu/pearl,c,1987-04-08t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,7,10:30:00
,,phytp,msu/pearl,c,1987-04-08t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:30:00
,,phytp,msu/pearl,c,1987-04-22t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.5,11:03:00
,,phytp,msu/pearl,c,1987-04-22t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:03:00
,,phytp,msu/pearl,c,1987-05-05t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.2,07:50:00
,,phytp,msu/pearl,c,1987-05-05t00:00:00,bp,39.54794,-76.08481,6.7,tf,15,liter,cb1.1,7.2,07:50:00
,,phytp,msu/pearl,c,1987-05-20t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.4,10:22:00
,,phytp,msu/pearl,c,1987-05-20t00:00:00,bp,39.54794,-76.08481,6.9,tf,15,liter,cb1.1,7.4,10:22:00
,,phytp,msu/pearl,c,1987-06-03t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,10:40:00
,,phytp,msu/pearl,c,1987-06-03t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:40:00
,,phytp,msu/pearl,c,1987-06-17t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.5,10:25:00
,,phytp,msu/pearl,c,1987-06-17t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,10:25:00
,,phytp,msu/pearl,c,1987-07-08t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.5,10:25:00
,,phytp,msu/pearl,c,1987-07-08t00:00:00,bp,39.54794,-76.08481,7,tf,15,liter,cb1.1,7.5,10:25:00
,,phytp,msu/pearl,c,1987-07-22t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,10:00:00
,,phytp,msu/pearl,c,1987-07-22t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:00:00
,,phytp,msu/pearl,c,1987-08-05t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1987-08-05t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1987-08-19t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6.5,10:41:00
,,phytp,msu/pearl,c,1987-08-19t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,10:41:00
,,phytp,msu/pearl,c,1987-09-03t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.5,11:00:00
,,phytp,msu/pearl,c,1987-09-03t00:00:00,bp,39.54794,-76.08481,7,tf,15,liter,cb1.1,7.5,11:00:00
