station,sampledate,depth,eventid,layer,parameter,measurevalue_averaged,concat
cb3.3c,1991-05-07,0.3,47240,s,s_chla,148.02,cb3.3c1991-05-07
cb3.3c,1988-06-07,0.5,95175,s,s_chla,141.3,cb3.3c1988-06-07
