tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
2727,bellerochea_horologicalis,,7,diatom,2854.7
2726,bellerochea_malleus,,7,diatom,2484
bay0404,berkeleya_rutilans,,7,diatom,47
2678,biddulphia,,7,diatom,19338.52
2682,biddulphia_aurita_obtusa,,7,diatom,2435.89
2706,biddulphia_biddulphiana,,7,diatom,4125.27
2686,biddulphia_longicruris,,7,diatom,3132.41
2690,biddulphia_pulchella,,7,diatom,4125.27
2696,biddulphia_regia,,7,diatom,16547.37
bay0040,biddulphia_reticulata,,7,diatom,3523.9
2691,biddulphia_rhombus,,7,diatom,9243.39
2698,biddulphia_sinensis,,7,diatom,78817.11
2702,biddulphia_tridens,,7,diatom,19274.9
2697,biddulphia_turgida,,7,diatom,560.51
bay0348,bleakeleya_notata,,7,diatom,146
bay0042,blue_green_sphere,sphere,3,cyanobacteria,3.44
bay0042,blue_green_sphere,spheres,3,cyanobacteria,3.44
bay0042,blue_green_sphere,trichome_b,3,cyanobacteria,7.6
bay0042,blue_green_sphere,trichomes,3,cyanobacteria,7.6
bay0042,blue_green_trichome,cell,3,cyanobacteria,2.42
bay0042,blue_green_trichome,cell_b,3,cyanobacteria,2.42
bay0042,blue_green_trichome,cell-_small,3,cyanobacteria,0.57
bay0042,blue_green_trichome,cell-small_taper,3,cyanobacteria,0.57
bay0042,blue_green_trichome,trichome_(cell)_large,3,cyanobacteria,20.81
6306,botryococcus,,8,chlorophyta,26.7
6308,botryococcus_braunii,,8,chlorophyta,84.8
6310,botryococcus_protuberans,,8,chlorophyta,38
6309,botryococcus_sudeticus,,8,chlorophyta,6.9
2196,calciosolenia,,6,haptophyta,136.1
2198,calciosolenia_granii,,6,haptophyta,152.3
2197,calciosolenia_murrayi,,6,haptophyta,119.9
4369,caloneis,,7,diatom,202.25
202438,caloneis_fusioides,,7,diatom,934.9
bay0346,caloneis_lepidula,,7,diatom,349.4
4408,caloneis_lewisii,,7,diatom,349.4
bay0047,caloneis_staurophora,,7,diatom,2242.6
4376,caloneis_subsalina,,7,diatom,212.63
bay0304,caloneis_trinodis,,7,diatom,399.9
4425,caloneis_wardii,,7,diatom,133.6
4377,caloneis_westi,,7,diatom,254.36
1243,calothrix,,3,cyanobacteria,11.4
1251,calothrix_parietina,,3,cyanobacteria,10.8
1747,calycomonas,,4,chrysophyta,4.64
1748,calycomonas_gracilis,,4,chrysophyta,10.7
1750,calycomonas_ovalis,,4,chrysophyta,5.13
1749,calycomonas_wulffii,,4,chrysophyta,5.07
2199,calyptrosphaera,,6,haptophyta,376.9
2200,calyptrosphaera_oblonga,,6,haptophyta,605.9
bay0048,campsopogan_coerulus,,7,diatom,0
5401,campylodiscus,,7,diatom,1023.01
5411,campylodiscus_limbatus,,7,diatom,3674.1
bay0049,campylodiscus_rutilis,,7,diatom,1023.01
3190,campylosira,,7,diatom,81.22
3191,campylosira_cymbelliformis,,7,diatom,81.22
5429,carteria,,8,chlorophyta,366.52
5442,carteria_cordiformis,,8,chlorophyta,158.1987
2288,centrales,<_10_microns,7,diatom,25.05
2288,centrales,<20_microns,7,diatom,33.75
2288,centrales,<20_microns_diameter,7,diatom,33.75
2288,centrales,>100_micron_diameter,7,diatom,4332.09
2288,centrales,>100_microns,7,diatom,4332.09
2288,centrales,>60_microns,7,diatom,2342.84
2288,centrales,>60_microns_diameter,7,diatom,2342.84
2288,centrales,10-20_microns,7,diatom,74.35
2288,centrales,10-30_microns_diameter,7,diatom,143.01
2288,centrales,20-100_microns,7,diatom,895.69
2288,centrales,20-100_microns_diameter,7,diatom,895.69
2288,centrales,31-60_microns_diameter,7,diatom,664.92
2288,centrales,diam_<10_microns,7,diatom,25.05
2288,centrales,diam_10-30_microns,7,diatom,143.01
2288,centrales,diam_31-60_microns,7,diatom,664.92
2013,centratractus_belonophorus,,5,xanthophyta,130.53
bay0052,centronella,,7,diatom,49.07
2755,cerataulina_pelagica,,7,diatom,248.7
bay0053,cerataulus_radiatus,,7,diatom,3637.09
10397,ceratium,,12,dinoflagellates,5060.16
10398,ceratium_arcticum,,12,dinoflagellates,497.5
550467,ceratium_arietinum,,12,dinoflagellates,11789
550468,ceratium_azoricum,,12,dinoflagellates,4768
10424,ceratium_belone,,12,dinoflagellates,4415.7
550540,ceratium_breve,,12,dinoflagellates,18891
10432,ceratium_buceros,,12,dinoflagellates,3905.7
10434,ceratium_buceros_tenue,,12,dinoflagellates,2196.3
10418,ceratium_candelabrum,,12,dinoflagellates,7422
180929,ceratium_carolinianum,,12,dinoflagellates,30702.8
10444,ceratium_carriense,,12,dinoflagellates,10077
10425,ceratium_contortum,,12,dinoflagellates,1677462.45
10426,ceratium_contortum_karsteni,,12,dinoflagellates,13985.5
10415,ceratium_contrarium,,12,dinoflagellates,3526.9
550469,ceratium_declinatum,,12,dinoflagellates,5979.6
bay0058,ceratium_digitatum,,12,dinoflagellates,12137.7
10427,ceratium_extensum,,12,dinoflagellates,178015
10399,ceratium_furca,,12,dinoflagellates,5822.35
10400,ceratium_fusus,,12,dinoflagellates,2958.62
10405,ceratium_gallicum,,12,dinoflagellates,203.2
10441,ceratium_geniculatum,,12,dinoflagellates,11061.5
10411,ceratium_hirundinella,,12,dinoflagellates,2737.01
bay0059,ceratium_hirundinella_brachyceras,,12,dinoflagellates,17795.5
10428,ceratium_horridum,,12,dinoflagellates,3905.7
550471,ceratium_inflatum,,12,dinoflagellates,36804
10429,ceratium_kofoidii,,12,dinoflagellates,3043.3
573344,ceratium_limulus,,12,dinoflagellates,9337.7
10401,ceratium_lineatum,,12,dinoflagellates,850.79
10447,ceratium_longinum,,12,dinoflagellates,31092.3
10402,ceratium_longipes,,12,dinoflagellates,9834.22
573345,ceratium_longirostrum,,12,dinoflagellates,7375
10403,ceratium_macroceros,,12,dinoflagellates,2939.24
10412,ceratium_massiliense,,12,dinoflagellates,3887.13
10417,ceratium_minutum,,12,dinoflagellates,1823.41
10442,ceratium_pavillardii,,12,dinoflagellates,22122.3
10406,ceratium_pentagonum,,12,dinoflagellates,3033.5
bay0063,ceratium_pulchellum_semipulchellum,,12,dinoflagellates,4372.6
10430,ceratium_ranipes,,12,dinoflagellates,11415.9
573355,ceratium_schroeteri,,12,dinoflagellates,19977
10420,ceratium_setaceum,,12,dinoflagellates,3466.8
10431,ceratium_teres,,12,dinoflagellates,4309.7
10413,ceratium_trichoceros,,12,dinoflagellates,7791.93
10408,ceratium_tripos,,12,dinoflagellates,7581.35
10409,ceratium_tripos_atlanticum,,12,dinoflagellates,3011.8
183914,ceratocorys_horrida,,12,dinoflagellates,4957.1
3321,ceratoneis,,7,diatom,81.66
2758,chaetoceros,,7,diatom,176.62
2758,chaetoceros,sp#1_diam_<10_microns,7,diatom,52.82
2758,chaetoceros,sp#2_diam_10-30_microns,7,diatom,230.31
2759,chaetoceros_affinis,,7,diatom,106.84
2761,chaetoceros_affinis_willei,,7,diatom,71.41
2769,chaetoceros_atlanticum,,7,diatom,1469
2771,chaetoceros_atlanticum_neapolitana,,7,diatom,30.2
2774,chaetoceros_borealis,,7,diatom,470.01
2776,chaetoceros_brevis,,7,diatom,146.79
2779,chaetoceros_coarctatus,,7,diatom,1867
2780,chaetoceros_compressus,,7,diatom,151.61
2781,chaetoceros_concavicornis,,7,diatom,471.37
2783,chaetoceros_constrictus,,7,diatom,756.31
2784,chaetoceros_convolutus,,7,diatom,338.9
2785,chaetoceros_costatus,,7,diatom,240.37
2838,chaetoceros_crinitus,,7,diatom,194.47
2787,chaetoceros_curvisetus,,7,diatom,71.41
2789,chaetoceros_danicus,,7,diatom,106.84
2790,chaetoceros_debilis,,7,diatom,209.4
2791,chaetoceros_decipiens,,7,diatom,358.38
2794,chaetoceros_densum,,7,diatom,89.75
2795,chaetoceros_diadema,,7,diatom,181
2797,chaetoceros_didymus,,7,diatom,51.51
2799,chaetoceros_didymus_protuberans,,7,diatom,44.51
2801,chaetoceros_difficilis,,7,diatom,49.2
2803,chaetoceros_diversus,,7,diatom,65.2
2841,chaetoceros_fragilis,,7,diatom,52.82
2806,chaetoceros_gracilis,,7,diatom,73.22
2809,chaetoceros_laciniosus,,7,diatom,383.92
2811,chaetoceros_lorenzianus,,7,diatom,979.2
2812,chaetoceros_messanensis,,7,diatom,132
2849,chaetoceros_muelleri,,7,diatom,292
bay0066,chaetoceros_neogracilis,,7,diatom,60.21
2814,chaetoceros_pelagicus,,7,diatom,20.6
2819,chaetoceros_pendulus,,7,diatom,53.01
2816,chaetoceros_peruvianus,,7,diatom,209.4
2821,chaetoceros_pseudocurvisetus,,7,diatom,412.89
2822,chaetoceros_radicans,,7,diatom,155.18
550512,chaetoceros_rostratus,,7,diatom,572
2826,chaetoceros_similis,,7,diatom,106
