tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
9970,dinophysis_doryphorum,,12,dinoflagellates,3526.9
9946,dinophysis_exigua,,12,dinoflagellates,4180.5
9947,dinophysis_fortii,,12,dinoflagellates,2496.14
9948,dinophysis_hastata,,12,dinoflagellates,4466.67
9953,dinophysis_lachmannii,,12,dinoflagellates,377.96
9949,dinophysis_micropterygia,,12,dinoflagellates,5135.4
9977,dinophysis_minuta,,12,dinoflagellates,617.9
573374,dinophysis_monacantha,,12,dinoflagellates,9763.8
9932,dinophysis_norvegica,,12,dinoflagellates,11234.03
9936,dinophysis_ovum,,12,dinoflagellates,4646.98
9950,dinophysis_parvula,,12,dinoflagellates,4957.1
9979,dinophysis_pulchella,,12,dinoflagellates,625.89
9951,dinophysis_punctata,,12,dinoflagellates,424.21
9933,dinophysis_rotundata,,12,dinoflagellates,1531
573380,dinophysis_sacculus,,12,dinoflagellates,3407.5
9954,dinophysis_schroederi,,12,dinoflagellates,11927.2
9952,dinophysis_schuettii,,12,dinoflagellates,3590.5
9935,dinophysis_sphaerica,,12,dinoflagellates,2027.89
9941,dinophysis_tripos,,12,dinoflagellates,9034.7
4325,diploneis,,7,diatom,192.56
4333,diploneis_bombus_(navicula_bombus),,7,diatom,99.97
4345,diploneis_constricta,,7,diatom,497
4334,diploneis_crabro,,7,diatom,2597.8
bay0092,diploneis_crabro_pandura,,7,diatom,1348.2
4350,diploneis_elliptica,,7,diatom,1767.1
bay0093,diploneis_gruendleri,,7,diatom,408.1
4341,diploneis_littoralis,,7,diatom,575
bay0094,diploneis_obliqua,,7,diatom,7059.7
4328,diploneis_smithi,,7,diatom,10620.7
4332,diploneis_subcincta,,7,diatom,1279
4337,diploneis_suborbicularis,,7,diatom,1039.6
10198,diplopeltopsis_minor,,12,dinoflagellates,3264.8
10169,diplopsalis,,12,dinoflagellates,364.45
10171,diplopsalis_lenticula,,12,dinoflagellates,2802.01
2255,discosphaera,,6,haptophyta,106.5
2256,discosphaera_tubifer,,6,haptophyta,106.5
6381,dispora_crucigenioides,,8,chlorophyta,4.83
10339,dissodium_asymmetricum,,12,dinoflagellates,5406.55
1810,distephanus_speculum,,4,chrysophyta,111.47
2928,ditylum_brightwellii,,7,diatom,1633.26
1814,ebria_tripartita,,4,chrysophyta,487.48
6336,echinosphaerella,,8,chlorophyta,89.06
9412,elakatothrix,,8,chlorophyta,634.65
9413,elakatothrix_gelatinosa,,8,chlorophyta,50.96
2251,emiliania_huxleyi,,6,haptophyta,31.06
590838,encyonema,,7,diatom,174.35
591272,encyonema_silesiacum,,7,diatom,88.1
6535,enteromorpha_intestinalis,,8,chlorophyta,1.27E+11
829,entophysalis_deusta,,3,cyanobacteria,1.2
bay0303,epiphytic_flagellates,,ph,ph,3.4
5005,epithemia,,7,diatom,210.14
5006,epithemia_argus,,7,diatom,182.06
5020,epithemia_turgida,,7,diatom,237.07
6331,errerella,,8,chlorophyta,3.44
6332,errerella_bornhemiensis,,8,chlorophyta,12.9
8525,euastrum,,8,chlorophyta,70.72
8527,euastrum_abruptum,,8,chlorophyta,70.72
2731,eucampia_cornuta,,7,diatom,608.13
2733,eucampia_zoodiacus,,7,diatom,441.91
5597,eudorina,,8,chlorophyta,152.04
5598,eudorina_elegans,,8,chlorophyta,225
9620,euglena,,11,euglenophycota,1017.01
9622,euglena_acus,,11,euglenophycota,651.43
550494,euglena_agilis,,11,euglenophycota,59.03
9653,euglena_convoluta,,11,euglenophycota,2016.478
9626,euglena_deses,,11,euglenophycota,1458.42
9631,euglena_ehrenbergi,,11,euglenophycota,969.01
9646,euglena_elastica,,11,euglenophycota,765
9673,euglena_fusca,,11,euglenophycota,1013.89
9632,euglena_mutabilis,,11,euglenophycota,263.46
9634,euglena_mutabilis_mainxi,,11,euglenophycota,1158.69
9664,euglena_polymorpha,,11,euglenophycota,3009.8
9627,euglena_proxima,,11,euglenophycota,928
9628,euglena_pumila,,11,euglenophycota,12
9630,euglena_spirogyra,,11,euglenophycota,2632
9636,euglena_viridis,,11,euglenophycota,914.89
3337,eunotia,,7,diatom,164.68
193766,eunotia_bidentula,,7,diatom,104.86
3403,eunotia_major,,7,diatom,248.42
3357,eunotia_pectinalis,,7,diatom,84.51
3365,eunotia_praerupta,,7,diatom,129.53
3374,eunotia_serra_diadema,,7,diatom,257.1
9605,eutreptia,,11,euglenophycota,656.77
9607,eutreptia_lanowii,,11,euglenophycota,119.91
9606,eutreptia_marina,,11,euglenophycota,1508.38
9608,eutreptia_viridis,,11,euglenophycota,196.1
bay0107,florisphaera_profunda,,6,haptophyta,22.6
2932,fragilaria,,7,diatom,153.6
2932,fragilaria,sp#1_length_<30_microns,7,diatom,42.32
2932,fragilaria,sp#2_length_30-60_microns,7,diatom,140.13
2932,fragilaria,sp#3_length_>60_microns,7,diatom,283.39
3325,fragilaria_arcus,,7,diatom,206.13
2953,fragilaria_capucina,,7,diatom,213
2957,fragilaria_construens,,7,diatom,37.63
2933,fragilaria_crotonensis,,7,diatom,214.48
202433,fragilaria_hyalina,,7,diatom,179.58
2987,fragilaria_intermedia,,7,diatom,202.6
2937,fragilaria_pinnata,,7,diatom,32.4
2941,fragilaria_striatula,,7,diatom,102.05
5076,fragilariopsis_cylindrus,,7,diatom,24.8
5140,fragilariopsis_oceanica,,7,diatom,66.1
5958,franceia,,8,chlorophyta,51.44
5960,franceia_ovalis,,8,chlorophyta,119.51
4564,frustulia,,7,diatom,533.7
4565,frustulia_rhomboides,,7,diatom,1600
6463,geminella,,8,chlorophyta,4.32
2259,gephyrocapsa_caribbeanica,,6,haptophyta,78.5
bay0109,gephyrocapsa_ericsonii,,6,haptophyta,3.43
2258,gephyrocapsa_oceanica,,6,haptophyta,78.5
10174,glenodinium,,12,dinoflagellates,580.53
10183,glenodinium_armatum,,12,dinoflagellates,977.4
10176,glenodinium_danicum,,12,dinoflagellates,324.94
10178,glenodinium_gymnodinium,,12,dinoflagellates,771.26
10185,glenodinium_quadridens,,12,dinoflagellates,1495.3
682,gloeocapsa,,3,cyanobacteria,3.44
689,gloeocapsa_aeruginosa,,3,cyanobacteria,3.44
700,gloeocapsa_punctata,,3,cyanobacteria,0.965525
6355,gloeocystis,,8,chlorophyta,78.46
6360,gloeocystis_vesiculosa,,8,chlorophyta,7.26
703,gloeothece,,3,cyanobacteria,5.35
708,gloeothece_linearis_composita,,3,cyanobacteria,10.2
3189,glyphodesmis_distans,,7,diatom,709.98
6315,golenkinia_radiata,,8,chlorophyta,100.51
4911,gomphonema,,7,diatom,325.08
4919,gomphonema_acuminatum,,7,diatom,357.72
4940,gomphonema_geminatum,,7,diatom,403.35
4982,gomphonema_sphaerophorum,,7,diatom,383.86
714,gomphosphaeria,,3,cyanobacteria,7.26
715,gomphosphaeria_aponina,,3,cyanobacteria,12.96
8923,gonatozygon_brebissonii,,8,chlorophyta,554.03
5573,gonium,,8,chlorophyta,126
5574,gonium_pectorale,,8,chlorophyta,29.2
5575,gonium_sociale,,8,chlorophyta,173.49
10359,gonyaulax,,12,dinoflagellates,1914.72
10378,gonyaulax_apiculata,,12,dinoflagellates,3526.9
10376,gonyaulax_birostris,,12,dinoflagellates,11339.4
bay0110,gonyaulax_conjuncta,,12,dinoflagellates,818.7
10364,gonyaulax_diacantha,,12,dinoflagellates,650.06
10379,gonyaulax_diegensis,,12,dinoflagellates,3689.8
10366,gonyaulax_digitalis,,12,dinoflagellates,2579.66
10381,gonyaulax_excavata,,12,dinoflagellates,1913.8
615888,gonyaulax_fragilis,,12,dinoflagellates,23483
10375,gonyaulax_longispina,,12,dinoflagellates,2422.8
10382,gonyaulax_minima,,12,dinoflagellates,683.8
10377,gonyaulax_minuta,,12,dinoflagellates,454
10367,gonyaulax_monilata,,12,dinoflagellates,1676.9
10368,gonyaulax_monocantha,,12,dinoflagellates,1453.13
10370,gonyaulax_polyedra,,12,dinoflagellates,2825.23
10371,gonyaulax_polygramma,,12,dinoflagellates,2163.99
10361,gonyaulax_spinifera,,12,dinoflagellates,1228.14
10373,gonyaulax_triacantha,,12,dinoflagellates,1544.31
10374,gonyaulax_unicornis,,12,dinoflagellates,624.4
550478,gonyaulax_verior,,12,dinoflagellates,820.07
3197,grammatophora,,7,diatom,141.05
3198,grammatophora_angulosa,,7,diatom,117.53
3199,grammatophora_marina,,7,diatom,306.82
3203,grammatophora_serpentina,,7,diatom,272.76
bay0286,green_cells,<3_microns,gr,chlorophyta,0.57
bay0286,green_cells,3-5_microns,gr,chlorophyta,7.26
bay0286,green_cells,5-10_microns,gr,chlorophyta,37.16
bay0352,guinardia_cylindrus,,7,diatom,3544
615883,guinardia_delicatula,,7,diatom,226.21
2922,guinardia_flaccida,,7,diatom,879.34
bay0389,guinardia_striata,,7,diatom,1113.93
10031,gymnodinium,,12,dinoflagellates,1725.77
10031,gymnodinium,sp.#1_5-20um_w_10-20um_l,12,dinoflagellates,74.2
10031,gymnodinium,sp.#2_21-40um_w_21-50um_l,12,dinoflagellates,601.18
10031,gymnodinium,sp.#3_41-70um_w_51-70um_l,12,dinoflagellates,2302.4
10031,gymnodinium,sp.#4_71-100um_w_71-120um_l,12,dinoflagellates,7777.76
10031,gymnodinium,species_2,12,dinoflagellates,1725.77
10043,gymnodinium_arcticum,,12,dinoflagellates,622.7
10059,gymnodinium_boguensis,,12,dinoflagellates,734.38
10157,gymnodinium_breve,,12,dinoflagellates,237.91
bay0353,gymnodinium_cnecoides,,12,dinoflagellates,0
331281,gymnodinium_coeruleum,,12,dinoflagellates,21353.9
573402,gymnodinium_conicum,,12,dinoflagellates,1349.3
573403,gymnodinium_costatum,,12,dinoflagellates,3673.32
10048,gymnodinium_danicans,,12,dinoflagellates,183.88
10044,gymnodinium_dissimile,,12,dinoflagellates,4784.9
10050,gymnodinium_flavum,,12,dinoflagellates,576.31
10040,gymnodinium_fuscum,,12,dinoflagellates,15229.9
10052,gymnodinium_gracilentum,,12,dinoflagellates,59.67
10045,gymnodinium_grammaticum,,12,dinoflagellates,1061
bay0354,gymnodinium_impatiens,,12,dinoflagellates,0
10053,gymnodinium_marinum,,12,dinoflagellates,704
180905,gymnodinium_mitratum,,12,dinoflagellates,3091.225
180906,gymnodinium_neglectum,,12,dinoflagellates,1929.7
10034,gymnodinium_nelsonii,,12,dinoflagellates,3382.26
10033,gymnodinium_punctatum,,12,dinoflagellates,35.48
10035,gymnodinium_pygmaeum,,12,dinoflagellates,94
10070,gymnodinium_rhomboides,,12,dinoflagellates,2464.3
10036,gymnodinium_simplex,,12,dinoflagellates,99.07
bay0119,gymnodinium_situla,,12,dinoflagellates,3526.9
10037,gymnodinium_splendens,,12,dinoflagellates,489.4
10055,gymnodinium_stellatum,,12,dinoflagellates,548.75
180910,gymnodinium_uberrimum,,12,dinoflagellates,1731.7
10039,gymnodinium_variabile,,12,dinoflagellates,271.89
10058,gymnodinium_verruculosum,,12,dinoflagellates,71.62
10077,gyrodinium,,12,dinoflagellates,2374.98
10077,gyrodinium,sp#1_5-20um_w_10-20um_l,12,dinoflagellates,90.01
10077,gyrodinium,sp#2_21-40um_w_21-50um_l,12,dinoflagellates,601.18
10077,gyrodinium,sp#3_41-70um_w_51-70um_l,12,dinoflagellates,2302.4
10077,gyrodinium,sp#4_71-100um_w_71-120um_l,12,dinoflagellates,6411.07
10078,gyrodinium_aureolum,,12,dinoflagellates,608
10082,gyrodinium_dominans,,12,dinoflagellates,330.66
10089,gyrodinium_estuariale,,12,dinoflagellates,77.78
10088,gyrodinium_fusiforme,,12,dinoflagellates,8014.93
202444,gyrodinium_lacryma,,12,dinoflagellates,2170.9
202444,gyrodinium_lacryna,,12,dinoflagellates,2170.9
10086,gyrodinium_spirale,,12,dinoflagellates,4784.59
10095,gyrodinium_uncatenum,,12,dinoflagellates,2067.74
10096,gyrodinium_undulans,,12,dinoflagellates,1597.1
4622,gyrosigma,,7,diatom,111.23
4623,gyrosigma_balticum,,7,diatom,2966.43
bay0122,gyrosigma_balticum_silimis,,7,diatom,5552
4624,gyrosigma_fasciola,,7,diatom,111.23
4637,gyrosigma_hippocampus,,7,diatom,1297.01
4650,gyrosigma_macrum,,7,diatom,1285.6
4625,gyrosigma_spenceri,,7,diatom,1535.2
591548,gyrosigma_spenceri_nodiferum,,7,diatom,1129
4631,gyrosigma_wansbeckii,,7,diatom,1202.4
bay0125,halopappus_adriaticus,,6,haptophyta,169.3
5303,hantzschia,,7,diatom,286.87
5309,hantzschia_marina,,7,diatom,209.96
bay0316,helicotheca_tamesis,,7,diatom,2357.17
2748,hemiaulus,,7,diatom,734.94
2749,hemiaulus_hauckii,,7,diatom,327.91
2752,hemiaulus_indicus,,7,diatom,185.3
2750,hemiaulus_membranaceus,,7,diatom,775.95
2751,hemiaulus_sinensis,,7,diatom,1076.79
2668,hemidiscus_cuneiformis,,7,diatom,2082.35
10604,hemiselmis,,14,cryptomonads,7.6
10459,heteraulacus_polyedricus,,12,dinoflagellates,4524.8
10207,heterocapsa_triquetra,,12,dinoflagellates,294.61
9517,heteromastix_pyriformis,,10,prasinophyta,4.4
9528,heteromastix_rotunda,,10,prasinophyta,20.81
bay0342,heterosigma_akashiwo,,5,xanthophyta,196.69
573432,histioneis_longicollis,,12,dinoflagellates,4030.7
573438,histioneis_variabilis,,12,dinoflagellates,2302.4
bay0355,hormidium_klebsii,,8,chlorophyta,162.8368
8750,hyalotheca,,8,chlorophyta,610.69
8755,hyalotheca_dissiliens_tatrica,,8,chlorophyta,488.48
6079,hydrodictyon,,8,chlorophyta,1244497
6080,hydrodictyon_reticulatum,,8,chlorophyta,324450
2209,hymenomonas,,6,haptophyta,224.98
2210,hymenomonas_carterae,,6,haptophyta,224.98
2143,isochrysis_galbana,,6,haptophyta,4.1
725,johannesbaptistia_pellucida,,3,cyanobacteria,67.73
bay0326,karlodinium_micrum,,12,dinoflagellates,116.15
10104,katodinium,,12,dinoflagellates,21.12
10108,katodinium_asymmetricum,,12,dinoflagellates,211.11
10106,katodinium_rotundatum,,12,dinoflagellates,21.12
1764,kephyrion,,4,chrysophyta,37.16
bay0134,kephyrion_ovale,,4,chrysophyta,37.16
202441,keratococcus,,8,chlorophyta,8.04
5895,kirchneriella,,8,chlorophyta,10.5
5905,kirchneriella_contorta,,8,chlorophyta,4.2
5906,kirchneriella_elongata,,8,chlorophyta,18.4
5896,kirchneriella_lunaris,,8,chlorophyta,25.65
5904,kirchneriella_obesa_major,,8,chlorophyta,38
5907,kirchneriella_subsolitaria,,8,chlorophyta,13.23
bay0135,lagerheimia,,8,chlorophyta,22.17
5872,lagerheimia_ciliata,,8,chlorophyta,223.4
bay0136,lagerheimia_citriformis,,8,chlorophyta,98.5
6022,lagerheimia_longiseta,,8,chlorophyta,22.17
2530,lauderia,,7,diatom,1385.36
2531,lauderia_borealis,,7,diatom,1385.36
bay0137,lauterborniella_elegantissima,,64,insecta,7.72
9758,lepocinclis,,11,euglenophycota,413.88
bay0375,leptocinclis_ovum_gracilicauda,,11,euglenophycota,1231.05
9765,leptocinclis_sphagnophila,,11,euglenophycota,168.7459
2395,leptocylindrus_danicus,,7,diatom,97.1
573630,leptocylindrus_mediterraneus,,7,diatom,484.4
2396,leptocylindrus_minimus,,7,diatom,64.64
3155,licmophora,,7,diatom,91.54
3168,licmophora_abbreviata,,7,diatom,36.92
3161,licmophora_flabellata,,7,diatom,320.59
3162,licmophora_gracilis,,7,diatom,908.6
bay0140,licmophora_inflata,,7,diatom,26.14
3163,licmophora_paradoxa,,7,diatom,4448
3164,licmophora_paradoxa_tincta,,7,diatom,2314
3166,licmophora_tincta,,7,diatom,346.5
573538,lingulodinium_polyedra,,12,dinoflagellates,2825.23
2924,lithodesmium,,7,diatom,1640.67
2925,lithodesmium_undulatum,,7,diatom,1640.67
870,lyngbya,,3,cyanobacteria,6.03
882,lyngbya_contorta,,3,cyanobacteria,2.73
890,lyngbya_hieronymusii,,3,cyanobacteria,0.77
894,lyngbya_limnetica,,3,cyanobacteria,6.3
1598,mallomonas,,4,chrysophyta,278.6
1604,mallomonas_caudata,,4,chrysophyta,1969.99
1609,mallomonas_producta,,4,chrysophyta,575.43
1612,mallomonas_tonsurata,,4,chrysophyta,297.59
46208,marssoniella_elegans,,35,protozoa,2.32
1378,mastigocoleus_testarum,,3,cyanobacteria,33.56
4549,mastogloia,,7,diatom,111.71
bay0147,mastogloia_apiculata,,7,diatom,885
4550,mastogloia_brauni,,7,diatom,885
bay0148,mastogloia_cocconeiformis,,7,diatom,1800
bay0149,mastogloia_gibbosa,,7,diatom,102.6
4562,mastogloia_pumila,,7,diatom,75.2
4552,mastogloia_rostrata,,7,diatom,482
4553,mastogloia_smithii,,7,diatom,268
2290,melosira,,7,diatom,54.05
2290,melosira,sp#1_diam_<20_microns,7,diatom,45.19
2290,melosira,sp#2_diam_>20_microns,7,diatom,488.98
2327,melosira_arenaria,,7,diatom,1148.94
2326,melosira_dubia,,7,diatom,58.77
2319,melosira_hummi,,7,diatom,45.3
bay0150,melosira_islandica_curvata,,7,diatom,74
2307,melosira_islandica_helvetica,,7,diatom,292
2292,melosira_jurgensii,,7,diatom,188.69
2309,melosira_lineata,,7,diatom,188.69
2293,melosira_moniliformis,,7,diatom,1052.7
2294,melosira_nummuloides,,7,diatom,312.1
2339,melosira_varians,,7,diatom,919.48
bay0376,membraneis_challengeri,,7,diatom,894.7
3237,meridion,,7,diatom,149.62
3238,meridion_circulare,,7,diatom,23.19
727,merismopedia,,3,cyanobacteria,6.02
729,merismopedia_convoluta,,3,cyanobacteria,9.9
732,merismopedia_elegans,,3,cyanobacteria,54.4
743,merismopedia_elegans_major,,3,cyanobacteria,162.3
728,merismopedia_glauca,,3,cyanobacteria,17.26
738,merismopedia_punctata,,3,cyanobacteria,6.02
739,merismopedia_tenuissima,,3,cyanobacteria,0.99
1817,mesocena_polymorpha,,4,chrysophyta,7.26
2221,michaelsarsia_elegans,,6,haptophyta,42
6321,micractinium,,8,chlorophyta,12.96
6322,micractinium_pusillum,,8,chlorophyta,12.96
6324,micractinium_pusillum_elegans,,8,chlorophyta,12.96
10485,micranthodinium,,12,dinoflagellates,50.41
8358,micrasterias,,8,chlorophyta,77847.12
8444,micrasterias_johnsonii,,8,chlorophyta,6013.8
8422,micrasterias_pinnatifida,,8,chlorophyta,571.3
8371,micrasterias_radiata,,8,chlorophyta,1263.2
8425,micrasterias_truncata,,8,chlorophyta,889.2
906,microcoleus,,3,cyanobacteria,254.31
908,microcoleus_lyngbyaceus,,3,cyanobacteria,254.31
747,microcystis,,3,cyanobacteria,1.2
750,microcystis_aeruginosa,,3,cyanobacteria,7.26
771,microcystis_incerta,,3,cyanobacteria,0.35
bay0153,microflagellates,species_#2,ph,ph,76.55
bay0152,micro-phytoflag,length_<10_microns,ph,ph,20.81
bay0152,micro-phytoflag,length_>10_microns,ph,ph,126
bay0152,micro-phytoflagellates,<10_microns,ph,ph,20.81
bay0152,micro-phytoflagellates,>10_microns,ph,ph,126
9295,microspora,,8,chlorophyta,3294.56
9304,microspora_quadrata,,8,chlorophyta,39.29945
10209,minuscula_bipes,,12,dinoflagellates,286.12
573689,minutocellus_polymorphus,,7,diatom,30.29
1941,monodus,,5,xanthophyta,4.41
bay0156,monodus_guttula,,5,xanthophyta,5.54
5990,monoraphidium,,8,chlorophyta,23.78
7055,mougeotia,,8,chlorophyta,246.47
16153,murrayella,,12,dinoflagellates,3084
5825,nannochloris,,8,chlorophyta,2.14
5826,nannochloris_atomus,,8,chlorophyta,3.4
3649,navicula,,7,diatom,192
3649,navicula,sp#1_length_<20_microns,7,diatom,48.31
3649,navicula,sp#2_length_20-60_microns,7,diatom,247.07
3649,navicula,sp#3_length_>60_microns,7,diatom,567.55
3747,navicula_abrupta,,7,diatom,4768
4083,navicula_amphipleuroides,,7,diatom,1555.9
bay0162,navicula_annulata,,7,diatom,936.95
3656,navicula_arenaria,,7,diatom,269.5
3737,navicula_arvensis,,7,diatom,13.13
3804,navicula_atomus,,7,diatom,15.06
bay0163,navicula_beyrichiana,,7,diatom,170.21
3697,navicula_bombus,,7,diatom,122.61
3699,navicula_cancellata,,7,diatom,288.73
3741,navicula_cincta,,7,diatom,58.65
3781,navicula_clavata,,7,diatom,2391
3734,navicula_cuspidata_ambigua,,7,diatom,573.67
3669,navicula_directa,,7,diatom,444.8
3670,navicula_distans,,7,diatom,1414.9
bay0377,navicula_eidrigeana,,7,diatom,1451.4
3806,navicula_elegans,,7,diatom,1451.4
3728,navicula_forcipata,,7,diatom,654.5
3786,navicula_granulata,,7,diatom,279.68
3730,navicula_hennedyi,,7,diatom,1933.4
3704,navicula_humerosa,,7,diatom,1710.7
591330,navicula_inserata,,7,diatom,936.95
bay0164,navicula_interrupta,,7,diatom,138.59
3706,navicula_irrorata,,7,diatom,34.4
4063,navicula_laevissima,,7,diatom,196.1
bay0166,navicula_lata,,7,diatom,162.58
3707,navicula_lyra,,7,diatom,349.19
3710,navicula_maculata,,7,diatom,3086
3677,navicula_membranacea,,7,diatom,1268.91
202437,navicula_northumbrica,,7,diatom,86.57
591003,navicula_notablis,,7,diatom,218.64
bay0168,navicula_opima,,7,diatom,27.24
3729,navicula_palpebralis,,7,diatom,717.8
3752,navicula_peregrina,,7,diatom,1155.9
3744,navicula_phyllepta,,7,diatom,196.1
3925,navicula_placenta,,7,diatom,413
3803,navicula_praetexta,,7,diatom,7250.8
4102,navicula_pusilla,,7,diatom,480.6
bay0169,navicula_retusa_cancellata,,7,diatom,288.73
591353,navicula_rhombica,,7,diatom,846.7
3712,navicula_salinarum,,7,diatom,175.96
3684,navicula_septentrionalis,,7,diatom,143.4772
3801,navicula_spectabilis,,7,diatom,357
3716,navicula_spicula,,7,diatom,0
3687,navicula_transitans_asymmetrica,,7,diatom,513.4
3270,neidium_affine,,7,diatom,209.1
1901,nephrochloris,,5,xanthophyta,10.2
1477,nephrochloris_salina,,4,chrysophyta,11.4
5965,nephrocytium_agardhianum,,8,chlorophyta,7.87
5968,nephrocytium_limneticum,,8,chlorophyta,107.4
5070,nitzschia,,7,diatom,95.77
5070,nitzschia,sp#1_length_<30_microns,7,diatom,32.03
5070,nitzschia,sp#2_length_30-70_microns,7,diatom,104.99
5070,nitzschia,sp#3_length_>70_microns,7,diatom,153.17
5099,nitzschia_acicularis,,7,diatom,32.79
5160,nitzschia_amphibia,,7,diatom,64.43
5163,nitzschia_angularis,,7,diatom,810
5164,nitzschia_angularis_affinis,,7,diatom,6.9
5073,nitzschia_bilobata,,7,diatom,764.9
5074,nitzschia_bilobata_minor,,7,diatom,4.4
5165,nitzschia_clausii,,7,diatom,45
5103,nitzschia_constricta,,7,diatom,115.8
5077,nitzschia_delicatissima,,7,diatom,43.71
5178,nitzschia_distans,,7,diatom,1404
5150,nitzschia_frustulum,,7,diatom,70
5152,nitzschia_frustulum_perpusilla,,7,diatom,22.87277
5167,nitzschia_gracillima,,7,diatom,54
bay0174,nitzschia_incurva_lorenziana,,7,diatom,168.47
5168,nitzschia_insignis,,7,diatom,1508
5104,nitzschia_linearis,,7,diatom,159.77
5080,nitzschia_longissima,,7,diatom,47.37
5174,nitzschia_lorenziana_densistriata,,7,diatom,292.4
5170,nitzschia_lorenziana_incerta,,7,diatom,27.2
5085,nitzschia_obtusa,,7,diatom,185.34
5087,nitzschia_obtusa_scalpelliformis,,7,diatom,362.7
5088,nitzschia_pacifica,,7,diatom,137.7
5250,nitzschia_paleacea,,7,diatom,29.84
5110,nitzschia_panduriformis,,7,diatom,1279
5089,nitzschia_paradoxa,,7,diatom,44.27
5114,nitzschia_plana,,7,diatom,599.01
5179,nitzschia_proxima,,7,diatom,129.18
5118,nitzschia_sigma,,7,diatom,188.98
bay0176,nitzschia_sigma_intercedens,,7,diatom,41280.9
5120,nitzschia_sigma_rigida,,7,diatom,352.5
5177,nitzschia_socialis,,7,diatom,243.1
5175,nitzschia_spathulata,,7,diatom,95.73
5130,nitzschia_tribionella,,7,diatom,337.86
5135,nitzschia_vermicularis,,7,diatom,301.53
5204,nitzschia_vitrea,,7,diatom,40.75
bay0178,nitzschia_vitrea_recta,,7,diatom,63.38
bay0179,nitzschia_vitrea_salinarum,,74,bryozoan,169.23
10149,noctiluca_miliaris,,12,dinoflagellates,6900500.52
10150,noctiluca_scintillans,,12,dinoflagellates,6900514.5
1225,nodularia,,3,cyanobacteria,161.6
1226,nodularia_harveyana,,3,cyanobacteria,12.85
1146,nostoc,,3,cyanobacteria,18.59
1147,nostoc_commune,,3,cyanobacteria,18.63
861,nostocales,trichome,3,cyanobacteria,7.6
10194,oblea_rotunda,,12,dinoflagellates,475.04
1455,ochromonas,,4,chrysophyta,54.5
1456,ochromonas_carolina,,4,chrysophyta,83.11
202431,ochromonas_minuscula,,4,chrysophyta,59.7
1457,ochromonas_variabilis,,4,chrysophyta,21.48
bay0314,odontella_alternans,,7,diatom,2163.01
610098,odontella_aurita,,7,diatom,1486.34
610124,odontella_granulata,,7,diatom,3795.13
573696,odontella_longicruris,,7,diatom,2837.75
610125,odontella_mobiliensis,,7,diatom,7157.64
610128,odontella_rhombus,,7,diatom,11889.62
610144,odontella_rhombus_trigona,,7,diatom,601.97
610127,odontella_sinensis,,7,diatom,48878.01
8959,oedogonium,,8,chlorophyta,6069.99
1903,olisthodiscus,,5,xanthophyta,54.03
1905,olisthodiscus_luteus,,5,xanthophyta,42
5827,oocystis,,8,chlorophyta,31.06
5833,oocystis_borgei,,8,chlorophyta,189.5554
5834,oocystis_elliptica,,8,chlorophyta,339.3
5838,oocystis_parva,,8,chlorophyta,44.6
2223,ophiaster_hydroideus,,6,haptophyta,5.13
2016,ophiocytium,,5,xanthophyta,13.82
2019,ophiocytium_capitatum_longispinum,,5,xanthophyta,102.68
9985,ornithocercus,,12,dinoflagellates,6569.7
9988,ornithocercus_magnificus,,12,dinoflagellates,7447.2
9986,ornithocercus_quadratus,,12,dinoflagellates,9940.1
9989,ornithocercus_steini,,12,dinoflagellates,5135.4
9987,ornithocercus_thurnii,,12,dinoflagellates,3470.6
917,oscillatoria,,3,cyanobacteria,14.65
917,oscillatoria,cells_#1_diam_<5um,3,cyanobacteria,8.04
917,oscillatoria,cells_#2_diam_>5um,3,cyanobacteria,41.55
917,oscillatoria,trichome,3,cyanobacteria,139.93
917,oscillatoria,trichomes,3,cyanobacteria,139.93
934,oscillatoria_erythraea,,3,cyanobacteria,366.08
940,oscillatoria_lacustris,,3,cyanobacteria,25.25
975,oscillatoria_limnetica,,3,cyanobacteria,3.1
976,oscillatoria_limosa,,3,cyanobacteria,2.81
925,oscillatoria_lutea,,3,cyanobacteria,22.34
987,oscillatoria_subbrevis,,3,cyanobacteria,2.5
932,oscillatoria_submembranaceae,,3,cyanobacteria,31.39
954,oscillatoria_tenuis,,3,cyanobacteria,11.4
10146,oxyrrhis_marina,,12,dinoflagellates,186.63
10463,oxytoxum,,12,dinoflagellates,2303.41
573451,oxytoxum_belgicae,,12,dinoflagellates,3526.9
10475,oxytoxum_constrictum,,12,dinoflagellates,7042.4
10477,oxytoxum_coronatum,,12,dinoflagellates,354.2
573456,oxytoxum_crassum,,12,dinoflagellates,288.63
550532,oxytoxum_curvatum,,12,dinoflagellates,2209.1
573458,oxytoxum_diploconus,,12,dinoflagellates,685.7
573459,oxytoxum_elegans,,12,dinoflagellates,2471.2
10466,oxytoxum_gladiolus,,12,dinoflagellates,1061.7
bay0192,oxytoxum_globosum,,12,dinoflagellates,1288.1
573461,oxytoxum_gracile,,12,dinoflagellates,128.3
550489,oxytoxum_laticeps,,12,dinoflagellates,225
10467,oxytoxum_longiceps,,12,dinoflagellates,1897.8
573464,oxytoxum_mediterraneum,,12,dinoflagellates,790.3
10468,oxytoxum_milneri,,12,dinoflagellates,2196.28
